pdbid,value
2jg0,7.82
4xy8,6.4
4qfp,4.23
2gl0,4.82
4dew,7.0
3t09,3.8
5dxt,9.7
5os5,3.39
3c79,7.2
6j9y,5.07
4ab9,3.33
5n25,7.78
1jmg,6.07
3l59,3.7
2v2q,4.15
2iuz,5.55
4i8w,10.9
6g14,5.49
3k1j,6.4
5h85,4.7
1pxp,6.66
1tpw,3.3
4qsv,2.0
5nkd,7.59
5aml,9.15
2wyg,8.7
3wjw,3.87
4l51,3.0
1fao,7.37
1h2k,2.92
1f0t,6.0
3wz7,5.74
1bju,4.8
3lp4,4.88
3b27,5.16
3gkz,8.0
5o2d,5.68
2zc9,6.74
3n3g,7.24
5mrm,5.03
2c3i,7.6
3pce,2.0
3nxq,8.15
1if7,10.52
1v2w,4.01
6d1h,3.72
3wha,9.32
5nvx,7.05
1fzq,7.62
4rak,7.85
1jlr,3.33
1qhc,7.57
3mv0,3.85
4rqk,5.82
5j20,9.14
3nu4,8.82
6arn,5.19
6jap,4.8
5j86,8.26
4bps,2.99
6o5t,6.5
4aia,3.66
2xog,3.43
4cjp,3.32
4gfm,7.22
5u6j,7.64
5cj6,8.69
4bb9,6.0
4pb2,4.8
5btx,3.55
5zni,4.39
2b4l,4.77
1phw,3.3
4ih5,4.11
2bal,6.31
3zq9,6.02
1i9n,8.66
4muf,6.34
2oxy,6.52
4oeu,7.66
6nmb,2.7
2y81,8.7
1a4w,5.92
3rsx,4.41
4jal,4.6
3ru1,4.85
2pv1,7.14
1kjr,6.06
6bbx,6.67
4aba,3.82
4css,8.46
6std,8.64
5fs5,6.69
2xj2,7.18
1f0s,7.74
6e7t,6.89
3n86,5.64
4u6c,5.0
1dl7,6.49
5yh8,6.78
6fnq,4.59
1nz7,7.12
1a28,8.29
1pot,5.49
6f9g,5.7
1gar,10.0
6hai,7.94
3cow,6.9
2pbw,8.25
4qb3,5.47
3el4,7.17
5fnu,8.89
1x39,9.22
1o3l,6.54
5za9,6.74
6jay,5.7
2r5p,8.48
3zso,5.12
2zcq,8.82
3dd8,7.85
1t4v,7.68
1a9q,6.17
3d7z,7.92
5orh,4.39
4bs0,5.7
5igm,7.38
5i7y,7.28
3jrx,9.0
1q8w,5.24
3lq2,5.22
4zeb,6.52
5i3y,9.4
2vl4,6.01
2cn0,7.66
5jsq,4.67
4av4,7.03
1ua4,4.22
6dy7,4.18
6b59,8.09
1k1l,6.9
1k1m,7.4
3cl0,7.07
1oau,7.7
2zz2,4.54
1u1w,5.85
4igt,7.89
2weq,5.9
5vih,7.49
6k04,8.04
5uln,7.85
1b3g,6.7
3ps1,10.17
1yp9,5.11
5ivc,5.92
2hah,8.0
2r5a,2.6
2r0z,5.47
1x8r,6.12
1v2k,6.19
6r4k,5.07
3pck,6.7
3b4f,8.14
3lka,2.82
4tkh,5.74
4aq4,6.17
4m0f,8.77
6cfc,3.68
1uwf,6.82
6qpl,7.04
5m17,3.66
2nmx,5.57
2qbp,8.4
5zg3,7.21
4ufi,6.2
3v2n,6.1
4azi,7.45
1gvw,6.96
5nkc,7.72
3f37,2.62
5nvw,6.77
3ni5,7.55
1hlk,5.0
5h9r,6.08
1xug,7.05
1jak,5.57
4u71,5.22
3f80,4.22
2psu,7.62
3rv8,4.92
6ncn,3.05
4zei,5.88
2qwd,4.85
3rlb,9.92
4pmm,7.57
3isj,3.68
1f73,2.39
1o1s,7.31
1bnq,9.49
6mu3,6.15
5wxh,6.15
6dil,8.12
5e2o,8.7
3vf7,9.1
5tya,4.48
5obg,7.13
6n3w,5.81
4ggz,10.18
2x6x,3.68
1zoh,7.0
4fys,4.82
4qnb,6.59
1o3f,7.96
1qbt,10.62
5u0e,5.11
4efk,2.49
5upj,7.12
1xgi,4.85
4ipn,3.39
5vd3,5.55
6o5u,4.38
4n7u,6.29
6mlj,7.26
3nee,5.34
3o84,7.24
1efy,8.22
2whp,4.0
1w4o,5.22
6r1d,5.4
6s57,5.1
5ito,4.16
3g2z,2.36
6cn5,7.7
1hmt,5.79
5gmn,4.73
5g1a,6.57
5n1s,7.99
5vcy,6.57
4ljh,4.71
5f74,5.12
3fed,7.46
5g17,6.7
5nkg,7.68
5w44,6.44
4i3z,4.29
2rk8,3.64
4ly9,8.15
3sue,9.08
5oh4,4.55
6g27,3.14
3qtv,4.65
3su0,6.79
2b7d,8.7
3l0v,7.64
1px4,3.23
5u0z,6.19
5j9x,7.77
6i13,5.12
4cst,8.89
1xkk,8.52
1x38,8.77
5eng,5.85
6f92,6.4
1d4h,10.0
3p3t,7.24
4io7,3.68
4mul,6.21
3be9,7.62
5wij,6.31
5i2f,6.49
6jof,4.98
4mnp,7.34
4hzm,4.63
6ayr,8.39
6qau,7.48
3suf,7.56
2yi0,8.12
2uxz,8.48
1g74,6.52
4kwo,6.45
4tpw,4.69
1nja,6.31
3aau,5.05
4i74,6.72
3fv1,9.3
1pyn,5.49
4xaq,7.14
1dhi,7.26
1ydr,5.52
6d5j,6.34
2p7a,6.1
4bqs,4.21
4de5,3.15
2jfz,5.24
4ufh,6.42
2xb8,7.59
6mku,7.15
6euw,7.77
2xdk,3.6
5jss,6.45
5ihh,6.41
5nk2,6.74
5amd,8.55
2v8w,6.82
4non,5.24
2y8c,6.4
1c70,10.3
3d52,3.28
6jbe,4.7
2qi7,10.21
1g35,8.14
4az5,5.99
1c5y,4.2
3t84,6.97
3iqu,4.77
1fq5,8.4
2i19,7.8
4n6z,7.8
3po1,4.02
6c9s,7.32
1ws1,9.55
1okl,6.03
5eh8,3.1
4w9i,5.96
3huc,5.99
4gg7,8.2
6hh3,6.24
2ypi,4.82
4qj0,7.32
6g24,2.77
2ya6,5.7
3ivg,4.3
5jxq,8.15
1yei,7.46
3d83,8.36
3bwj,6.5
4kni,7.78
4fl2,3.66
2pwd,4.4
2hmv,7.7
5fl4,7.0
4uj1,6.52
2hl4,7.64
4x48,6.77
2xxx,6.41
3su3,9.13
2vnp,9.92
6mjf,5.16
6qlq,4.51
1rnm,3.07
6htg,7.17
2nsj,4.79
3ekp,8.89
1hi5,4.04
1c5q,6.36
3rwp,9.22
3f19,7.19
5zg1,7.72
3iss,6.05
2hzl,6.57
1lag,6.3
3f8c,7.68
2pwg,4.82
3v2q,6.29
6qav,8.31
4aje,3.68
2fxs,6.06
4agm,3.98
5e2p,8.8
3djv,4.55
4avh,7.23
6gfs,6.54
5o1h,4.85
3p17,4.48
3sm2,9.7
4wt2,10.42
1tsy,4.96
1pvn,9.82
3ta1,3.25
4jzi,7.4
5oq8,5.85
4re2,4.98
1qbu,10.24
4fxp,4.09
5yft,5.0
5i9x,7.52
1qaw,5.12
5d1r,4.84
5nk8,6.64
6qgf,6.0
1bq4,5.22
4b6r,5.85
1uto,2.27
5kh3,4.22
1s39,7.7
5ka1,4.48
4zgk,5.51
6eqv,6.62
6nwk,7.7
4ivd,9.52
1bnt,9.8
4u6w,4.21
1fkg,8.0
5kax,6.11
1w13,8.7
3uo4,6.52
2pvk,8.3
4y5d,5.92
4abf,4.62
3t0b,4.3
4qge,9.3
6arm,4.97
1lgt,6.1
5tbm,7.31
5ttw,5.96
3old,5.9
3mhl,7.25
3zcl,8.0
3dx2,6.82
5uov,10.6
6f90,6.0
4l19,6.1
4oc3,8.28
2weo,6.93
4f6w,7.52
2zdl,6.4
5ut6,4.24
6eq2,5.89
3eft,7.92
4rfr,6.54
5m7u,8.1
2wer,7.05
4iif,5.18
6gnw,4.99
2o4k,10.46
1b38,6.6
3td4,5.66
3aaq,3.3
6cvf,6.35
4z07,7.99
3kgq,2.3
5evb,5.0
1hvl,9.95
3qqs,5.82
5kqy,9.29
1li2,4.04
1elc,6.66
3ml5,8.52
1fkw,5.05
2r38,7.44
4n9c,3.9
5z66,6.69
2bz6,7.09
3bgc,5.02
1b6k,8.74
4bcm,6.91
4qfo,4.27
3qx9,4.05
5y94,6.79
2j62,11.34
6d5h,6.92
4ykj,4.43
1ghy,8.1
1xk9,6.85
5d3j,5.24
5ijr,3.2
1mai,6.68
3hvi,8.3
2i4w,11.59
3l4x,6.89
2h4g,6.52
1v48,7.8
4lj5,6.29
3k37,8.92
6c85,3.9
3f6g,4.72
3alt,2.92
4ezx,5.8
3mjl,2.44
1azm,6.1
1tcx,6.95
2c94,6.82
1gai,8.0
3vf5,9.34
3mxd,8.83
1pgp,5.7
3sug,6.21
6haz,7.0
3ckz,8.72
3c2r,3.11
1ecv,4.85
3bv9,5.36
3pgu,6.7
3bl1,5.6
6t1j,4.74
1owe,6.2
2vrj,6.3
3qxt,5.22
4dzy,5.62
1k6v,6.92
4cwq,7.06
4x5z,7.63
6eiq,6.42
4x8u,2.46
5.00E+74,4.41
5n93,8.66
5lli,7.05
3sfg,6.06
3c2u,2.9
2xxt,8.05
4gqr,3.96
1mfd,5.31
5nk9,6.14
3tmk,6.87
2oxn,7.44
4gzw,4.52
4yzu,5.05
1o2o,6.36
5yum,3.65
4qyy,7.3
5ehq,10.48
3b7j,5.17
4uye,8.02
4bco,6.88
3ejq,8.57
1d6w,5.96
2gvj,9.52
6d17,4.82
4ew2,6.68
1afk,6.62
3p4v,5.1
5fot,3.17
3dp4,7.37
4b5t,3.33
1b6h,7.82
5b5f,5.25
1oss,4.79
4nh7,8.4
2cex,4.7
5een,8.96
1oyt,7.24
4lm1,3.23
6jag,4.5
3r6u,4.52
4g0q,2.52
5n0d,8.48
3daz,7.93
4emr,7.49
6e1z,3.82
5anu,9.4
6h29,5.62
5ny3,7.47
1qf0,7.38
2zwz,7.79
1det,4.3
1h4w,4.66
3n7a,3.7
3zj6,6.66
3uri,9.0
4elg,8.16
6dh8,9.84
3gc4,7.6
5umx,5.96
4xip,6.63
2uxi,7.3
2ovv,7.92
2qi1,7.3
1os5,6.85
3nx7,8.1
3t2w,7.46
4cd4,6.58
5j6m,8.57
1ppk,7.66
2xjg,7.82
3sr4,6.54
2qci,8.34
4riv,7.0
1lcp,6.64
2x0y,4.6
6d9x,3.49
3d51,4.15
3fql,7.15
3fjg,3.73
2i4z,5.7
5m25,8.19
6phx,3.32
3ibn,7.61
5yjm,7.68
1ucn,5.22
4ih7,5.24
1kel,7.28
4gzp,7.84
3b7i,5.82
4dkq,6.6
1lbk,3.18
3acw,4.76
3gst,6.72
5upe,8.05
1k1o,6.17
1v11,3.98
3ao4,2.07
4dq2,7.52
4iie,2.34
5e8f,8.64
1f0u,7.16
6ajr,4.31
1mu6,8.38
4eu0,6.4
4qgd,7.43
4fai,6.99
4ido,4.93
4r3w,3.0
3bkl,6.17
6hzb,8.98
5tp0,5.44
3f33,3.34
3u90,4.62
4ryd,11.26
5jvi,6.51
1b1h,7.03
6udv,10.29
5acy,8.19
5wa8,6.23
1hpv,9.22
5ueu,7.78
3kdd,8.46
2hhn,7.49
2br1,5.14
4o9w,7.16
5otz,5.19
4lko,8.22
5nap,7.95
1txr,7.74
5z99,6.88
1lgw,4.0
6cze,4.03
5sxm,8.54
1qb6,6.06
4y0a,2.31
2xab,9.27
3cs7,10.68
4tun,5.41
3cct,7.56
2wuf,4.29
3v3q,6.6
5fng,2.96
1uz4,3.4
6dz0,9.03
3kgp,2.57
3arx,5.33
2xd9,6.46
4er2,9.3
3f17,8.63
5l4i,6.59
1w11,8.22
2pgz,5.74
1fzm,7.7
6s4n,6.79
3bqc,5.73
4i5c,8.82
1p1q,4.89
5nih,6.87
1ppi,5.01
4cc5,4.42
5j41,3.7
5otr,4.92
6czb,4.33
5nwe,4.88
6cbf,5.17
4np3,3.3
5fov,2.8
3drg,7.0
3x00,9.08
1hvh,7.96
2ovy,8.4
5ia5,7.6
2vj8,8.7
5g1z,5.32
4b73,7.21
1e3g,9.0
4zyf,8.64
2gst,6.07
3ueu,5.24
4jyt,7.4
6elp,6.63
3pb8,5.24
1k22,8.4
3oim,6.74
6ays,9.19
2r9w,5.1
6g6t,7.7
6fh3,3.07
5a5q,4.68
4nxv,5.42
5mro,5.7
1ogx,6.09
1li6,3.8
5vr8,6.87
4ezr,5.2
3sww,8.4
5dyo,10.21
6mg5,4.69
5jgi,4.3
3pb9,6.58
4djq,10.32
4zzy,5.6
5mo8,5.79
3ubd,5.54
3mf5,5.36
2rd6,8.3
3kdm,7.0
1a9m,6.92
3fv2,8.11
2bpy,7.4
2f2h,5.7
6qqq,5.17
4gqp,9.6
1o0h,5.92
3gy7,4.52
4j7d,4.7
5vkc,8.74
5yfs,4.86
1qb1,6.77
6czc,4.78
2cet,8.02
4z1e,8.24
5e2r,7.06
6h1d,5.6
2yme,7.66
3mfv,2.52
4cpw,7.5
2p3b,8.48
2q7q,5.3
5d2r,5.82
2rcb,6.79
4l6t,7.49
6g37,7.37
2nn7,6.52
2qnq,6.11
5uc4,6.46
1tom,8.3
2wbg,4.45
2pk6,10.89
3s2v,6.8
5t19,4.49
4b5s,3.49
1pbq,6.27
2xeg,10.7
3eko,6.7
6nzv,10.17
6j0o,4.92
1no6,4.41
5k1f,4.79
3ip9,5.62
3pbb,7.02
3qlm,6.37
5umy,6.97
5wuk,7.85
1sqt,6.2
2x91,6.74
3rlr,7.52
3tif,5.38
2cle,3.55
6ayi,6.68
3s77,7.21
1qyg,6.85
5edb,7.0
6fhu,2.64
2xn5,6.69
1v1j,4.82
1hi3,4.19
2pou,7.42
3d50,4.77
2ce9,6.03
6qe0,4.6
4bam,8.94
1g3d,5.55
1igb,6.4
4bt3,3.12
3rf4,6.25
2cbz,3.93
1bp0,5.4
5fhm,5.09
5sz0,9.1
2zft,6.52
6iez,6.52
6cjv,5.66
5kr1,9.49
4poj,8.1
5edl,8.35
6n7b,9.22
2d3u,6.92
1z6s,4.34
2j7b,6.62
6d1g,4.47
5ouh,5.67
6ndl,7.19
5wmg,8.21
5op4,6.71
1nki,6.7
6h37,8.59
5fto,8.21
6mj7,2.82
4db7,6.56
1c5o,3.49
1kav,5.82
4kn0,7.4
3ocp,7.57
3g35,4.68
5g57,8.4
6b1k,6.67
1q1g,8.57
6r18,4.92
3ovn,2.55
4rd6,6.28
3nkk,4.7
1b3h,6.21
1q91,4.15
5ot9,4.07
2w26,9.4
3cyx,8.0
2flr,6.1
5wp5,5.34
3r7o,8.36
4xtv,9.27
3ddf,4.66
3qbc,4.97
3ekr,7.52
6ugz,7.72
5oht,6.02
3f5j,4.28
6ql2,7.77
5g5z,5.66
6el5,6.88
4kn1,6.84
1utl,2.47
6ej2,7.8
5v82,10.15
3ioc,3.68
3gk1,4.1
6hlx,7.17
4o0y,7.22
1szd,4.54
5dey,8.43
6ayo,8.29
2fqt,6.14
2fpz,3.96
6dyy,10.55
2bfq,6.89
1.00E+66,9.89
3b7r,7.7
4rww,5.85
2qnn,7.15
4k5p,3.46
5o87,6.61
2wvt,6.12
3ddg,6.0
2vw5,8.52
4ayp,6.12
6ny0,5.4
5m23,8.9
3fv3,9.52
3hcm,3.3
2pvu,6.31
5evk,4.92
2jgs,6.62
6n79,9.68
2i4x,11.72
4gzx,3.19
3znr,7.44
5ufp,7.37
1uwu,5.98
3c39,3.96
1e3v,4.34
4yes,8.02
3qfz,3.24
4lzs,4.8
4gqq,2.89
1m0o,2.31
4zwz,8.7
4hla,10.8
5n0f,6.05
1ctu,11.92
1c83,4.85
1xbo,6.04
1nt1,8.89
4mn3,5.75
1dif,10.66
3fvl,6.07
4cra,7.22
4x8v,6.89
4ujb,8.0
4omc,10.78
5l3a,4.89
3hkw,8.64
4cd5,6.71
3veh,4.96
1str,4.77
1hms,6.37
5f5z,7.07
5zag,6.97
4pvx,6.76
3fur,8.0
4tu4,3.76
4azg,7.1
2mas,7.52
5b25,10.24
1ps3,2.28
1o30,6.77
5ep7,5.4
4gfo,6.62
1i37,9.57
1y3p,4.82
2bfr,5.25
2q89,6.3
6e9a,11.92
3twp,3.92
1ai5,3.72
3fhb,5.7
3liw,7.6
4kz6,3.1
6cwh,7.54
2vwo,7.51
5m7s,9.05
2pwr,6.59
4u8w,11.24
5f1h,7.85
1n4h,6.55
4buq,8.14
2v2h,3.77
4z0k,6.34
1b4z,5.23
3tkw,5.27
5wqc,8.96
1w4q,5.26
1mrs,3.96
1afl,6.28
5avf,5.49
3gdt,7.19
2isw,7.43
2pqb,7.2
4ahr,2.19
3vfa,9.19
4pzv,5.7
4q83,4.19
1f74,3.05
4k3h,6.85
5fe9,4.68
5n2t,5.08
3su4,6.26
4f7v,5.38
3pgl,5.3
3nyd,3.48
4umb,4.0
4kyh,5.92
4axd,4.43
2hs1,8.48
3a5y,7.96
4luz,4.7
3lpp,6.22
3hu3,6.89
6hk4,8.55
3hll,8.24
3kr4,7.6
1hsl,7.19
2q38,5.23
6ckr,7.3
3ttm,8.52
1yej,7.46
2qnp,6.41
1g7f,5.47
6g2f,5.17
3ffg,9.08
6gl9,6.87
1o7o,4.49
4ca8,6.68
2p4j,8.96
4zx3,7.19
3ozt,4.13
2cbj,8.27
3a1d,4.12
2qbq,7.44
1egh,5.7
6mqc,8.28
1uj5,3.05
5dhu,6.3
2v3d,3.94
1ec3,9.04
3evd,6.91
1fm9,9.0
1xws,8.0
2xp7,5.77
5fck,8.22
6qlr,4.82
6pvw,6.32
2v57,7.1
6d50,5.05
5ceq,7.38
5u11,5.35
3n0n,7.3
3ppq,4.55
5ovp,5.04
6mln,7.54
5l30,9.14
4baq,9.01
5vij,7.61
3uw5,7.85
1m83,3.4
1b5i,7.05
1cnw,7.72
3hek,8.27
4ufk,3.89
5i3w,9.22
4qij,5.54
1moq,3.46
4pnu,4.89
3lpi,8.52
3qfy,6.12
3zdh,7.35
2xef,9.84
3zdg,7.1
1s89,5.24
6hhr,7.01
3dzt,7.22
6np2,6.8
5k0h,7.09
1met,9.4
5qqp,8.28
2oxx,6.7
4nra,4.19
4cwn,5.59
1ajx,7.91
2hb1,3.8
3l3m,8.22
1amk,4.3
5cjf,9.59
5u0f,5.47
1syh,6.41
5bwc,7.21
3dri,4.42
1kyv,5.92
6pid,4.54
3umq,4.62
1ebw,9.05
5tcj,7.38
6py0,6.41
3bkk,6.08
4pqa,5.55
3ldp,5.62
1uvt,7.64
1hvi,10.92
2w4x,4.85
4ymx,7.1
2b1g,6.64
6rnt,2.37
1o5g,4.96
4kif,4.84
3zsy,3.23
4o2p,6.7
2xda,6.22
6j9w,5.13
4c52,5.68
4del,7.68
4m0y,6.46
4nue,6.82
3hv8,6.98
2r43,6.0
1j01,6.47
2yfe,6.63
3b5r,8.77
2fu8,4.7
6ftp,5.82
6f1n,6.26
2zgx,6.74
5evd,5.0
5eq1,4.68
4o2b,5.74
4q0k,4.87
3nuo,9.8
4bck,8.4
3g5k,9.52
3rv4,2.3
3gvb,2.59
1gpn,6.48
5u13,5.41
1ui0,7.06
2xc0,6.72
4dhl,4.48
4zv1,5.24
4qpd,7.82
3iae,3.89
6dar,6.66
4us3,5.32
5duw,3.29
1ado,6.0
6ex1,7.31
4qdk,5.85
3jvs,6.54
1oif,7.72
2wq5,3.74
6bdy,5.69
6nu1,4.51
3l4w,6.0
4tim,2.16
3vjc,7.72
3zk6,6.34
6fba,4.7
1o5r,8.12
3k4q,5.34
6ggb,5.39
2j47,5.41
1f4x,5.59
5m28,4.32
3zns,7.41
5nn5,5.47
2vhj,3.9
1m4h,9.52
6e1y,7.66
5zym,5.77
4ea2,6.44
3u93,6.31
2wzm,5.22
5k8s,8.22
4zb6,6.28
1hvr,9.51
4djw,6.28
6qlt,4.04
5h8g,10.32
2yz3,6.66
3lzs,10.96
3m96,7.22
6ayt,8.85
5hz5,7.07
5o4f,6.68
6n95,5.12
6d1b,3.91
3w9k,6.32
6dz2,8.85
4q81,3.02
4crl,9.71
3o75,6.68
5v79,6.41
2erz,5.66
2w8j,2.96
2ves,7.7
5ld8,8.05
3qox,6.57
6gxb,7.46
4std,10.33
3m6r,7.49
4abh,4.15
3bfu,6.27
4kwf,4.82
2zy1,7.4
2r2m,7.33
1ony,6.77
5vja,6.59
4yha,6.65
4xoc,8.52
6cjr,9.52
5d0c,5.63
1usn,7.74
3coy,6.02
3wz8,5.82
6f9v,6.76
4uoh,4.77
5sz5,7.7
5dwr,11.22
5m04,6.34
5os2,2.74
6s5k,7.32
5vc3,7.11
4g0p,3.01
3fl5,7.28
3d8z,3.37
5f2u,8.43
4ase,11.0
2zcr,6.87
1k1i,6.58
6pi5,6.96
4r5t,6.1
2v7a,8.3
4fcq,7.0
3d9z,8.7
1bjv,5.54
3b3c,3.98
4ts1,4.94
3cd7,7.84
4tte,3.69
6e5l,7.18
2vb8,4.6
1jmf,5.77
2vc9,8.44
4xiq,7.07
4f3k,10.16
4lxz,6.74
2hjb,4.39
6d1d,4.47
1wuq,8.27
5byi,7.51
6got,9.4
4zx0,8.0
1rql,2.75
5dx4,6.86
5bs4,11.0
4r0a,4.26
3t6b,6.36
1nvq,8.25
5qay,3.23
3wgg,4.4
5lny,7.38
1elr,4.96
5y13,5.94
5ost,4.56
4b3b,3.6
1pa9,4.6
4aqh,6.54
4avi,7.63
1utm,3.01
5fso,6.09
5aoj,4.68
6i8y,6.74
5ose,3.17
1uho,9.22
6g2r,9.46
4y2q,2.92
5org,8.4
2wtv,8.74
3bgs,9.42
6eya,7.48
5htl,6.3
1o5e,5.74
5hcv,8.7
3s0e,6.55
4ej8,5.39
4kxn,6.1
1hbv,6.37
3jy0,8.3
6eq5,4.74
3c89,6.07
3u9q,4.38
5ny1,6.44
3hzm,5.52
4ghi,7.09
5om2,4.06
3cyw,7.77
1b6l,8.3
4u0w,3.0
3nim,4.75
4mpn,6.62
3o8p,6.46
5ovx,4.5
5o58,6.72
4tjz,5.97
3o9e,11.3
1a69,5.3
6n9l,6.7
4xar,6.97
5f61,7.46
4gu6,7.36
3rbu,9.43
4n5d,3.22
4ban,8.61
5dqf,3.6
2uz9,5.71
6euc,3.77
4mhy,6.47
2vw1,3.52
6pg3,3.32
6b4n,10.55
5vo1,8.15
5o9o,4.89
1lkl,5.81
1w5y,8.48
2vw2,3.3
3q6z,3.72
4dst,2.96
2r9x,4.85
1tq4,6.19
5nwi,6.16
4xu1,9.49
4ymq,5.8
4j45,5.77
4og4,6.02
4gr0,9.55
4lhm,3.39
2sim,3.42
6ebe,6.7
5irr,5.27
6exs,3.44
5vd1,6.0
3ryj,7.8
3ok9,11.23
6gj6,4.7
3sjf,7.64
4zae,8.44
4isu,3.68
4zw5,4.43
3vbd,8.07
3fx6,6.8
3f48,6.29
3f78,3.1
5my8,7.14
4ef6,2.92
2vjx,4.96
2zq2,6.56
5zhl,6.72
2qi5,10.85
5e2l,4.03
3ggu,9.77
1b40,7.28
4m8h,7.6
6g3v,6.04
4k7o,4.3
1jq8,6.0
6ge7,6.06
4bqg,6.22
3oyq,7.99
4ddk,2.29
4i71,7.74
3vw1,4.67
3d0b,6.54
5ohy,5.17
1lbf,7.85
6eyb,5.37
6r9x,2.96
1pxo,8.7
